2022-03-01_10:01:22 No MITM App found running by vm_watchdog, restarting VMapper
2022-03-01_10:01:32 No MITM detected by vm_watchdog after trying to restart it, waiting for next loop to retry. This was try number 1 
2022-03-01_10:01:38 No MITM App found running by vm_watchdog, restarting VMapper
2022-03-01_10:01:48 No MITM detected by vm_watchdog after trying to restart it, waiting for next loop to retry. This was try number 2 
2022-03-01_10:01:54 No MITM App found running by vm_watchdog, restarting VMapper
2022-03-01_10:02:04 No MITM detected by vm_watchdog after trying to restart it, waiting for next loop to retry. This was try number 3 
2022-03-01_10:02:10 No MITM App found running by vm_watchdog, restarting VMapper
2022-03-01_10:02:20 No MITM detected by vm_watchdog after trying to restart it, waiting for next loop to retry. This was try number 4 
2022-03-01_10:02:26 No MITM App found running by vm_watchdog, restarting VMapper
2022-03-01_10:02:36 No MITM detected by vm_watchdog after trying to restart it, waiting for next loop to retry. This was try number 5 
2022-03-01_10:02:42 No MITM App found running by vm_watchdog, restarting VMapper
2022-03-01_10:02:53 No MITM detected by vm_watchdog after trying to restart it, waiting for next loop to retry. This was try number 6 
2022-03-01_10:02:59 No MITM App found running by vm_watchdog, restarting VMapper
2022-03-01_10:03:09 No MITM detected by vm_watchdog after trying to restart it, waiting for next loop to retry. This was try number 7 
2022-03-01_10:03:15 No MITM App found running by vm_watchdog, restarting VMapper
2022-03-01_10:08:27 Device rebooted over 10 times today by the vm_watchdog script, vmapper.sh signing out, see you tomorrow
2022-03-01_10:08:33 Device rebooted over 10 times today by the vm_watchdog script, vmapper.sh signing out, see you tomorrow
2022-03-01_10:08:39 Device rebooted over 10 times today by the vm_watchdog script, vmapper.sh signing out, see you tomorrow
2022-03-01_10:08:45 Device rebooted over 10 times today by the vm_watchdog script, vmapper.sh signing out, see you tomorrow
2022-03-01_10:08:51 Device rebooted over 10 times today by the vm_watchdog script, vmapper.sh signing out, see you tomorrow
2022-03-01_10:08:57 Device rebooted over 10 times today by the vm_watchdog script, vmapper.sh signing out, see you tomorrow
2022-03-01_10:09:04 Device rebooted over 10 times today by the vm_watchdog script, vmapper.sh signing out, see you tomorrow
2022-03-01_10:09:10 Device rebooted over 10 times today by the vm_watchdog script, vmapper.sh signing out, see you tomorrow
2022-03-01_10:09:16 Device rebooted over 10 times today by the vm_watchdog script, vmapper.sh signing out, see you tomorrow
2022-03-01_10:09:22 Device rebooted over 10 times today by the vm_watchdog script, vmapper.sh signing out, see you tomorrow
2022-03-01_10:09:28 Device rebooted over 10 times today by the vm_watchdog script, vmapper.sh signing out, see you tomorrow
2022-03-01_10:09:34 Device rebooted over 10 times today by the vm_watchdog script, vmapper.sh signing out, see you tomorrow
